player_id,name,new_id,own_goals,yellow_cards,yellow_red_cards,red_cards,minutes_played,penalty_goals,minutes_per_goal,matches,goals,assists,to_nil,conceded_goals
1011139,Jaden Dixon,07e0557c,0,7,0,1,2108,0,0.0,25,0,0,0,0
1011140,Jack Fletcher,dce57f2b,0,4,0,0,2105,0,886.0,30,2,6,0,0
1011147,Mikey Moore,66106afe,0,2,0,0,4025,3,95023809524554.0,63,37,19,0,0
1011150,Hudson Sands,4f674b5b,0,0,0,0,540,0,0.0,6,0,0,2,9
1011152,Trevan Sanusi,5a181666,0,0,0,0,2292,0,1632.0,37,4,3,0,0
1011200,Junior Mwanga,6f94dd69,1,8,0,1,6726,3,2238.6,90,7,2,0,0
1011211,Gesualdo Napolitano,89944c7c,0,3,0,0,1296,2,870.75,31,5,1,0,0
1011320,Liam Hall,5f04616b,0,0,0,0,11,0,0.0,1,0,0,0,1
1011514,Andrea Frasca,a7ade64d,0,1,0,0,180,0,0.0,2,0,0,0,6
1011669,Michael Okeke,5e266a35,0,10,0,0,3395,0,720.0,53,1,7,0,0
1011672,Tom Myles,829d101f,0,0,0,0,1914,0,0.0,23,0,0,8,31
1011738,Harry Amass,39a8cbac,1,5,0,0,3572,0,1172.0,51,1,4,0,0
1011749,Kyle Kelly,4f848824,0,2,0,0,2178,0,813.0,36,1,1,0,0
1012421,Matija Popovic,7bfa9622,0,3,0,0,2652,2,183.0,40,21,9,0,0
1012489,Iker García,1795d6f3,0,8,0,1,1746,0,1032.0,32,1,0,0,0
1012513,Gracien Deseri,7d127b9e,0,6,0,0,3832,0,613.6,53,6,0,0,0
1012515,Salvatore De Crescenzo,9311fbdb,0,3,0,0,2677,0,1844.0,38,1,1,0,0
1012516,Ciro Borrelli,69456254,0,4,0,1,2299,0,0.0,33,0,1,0,0
1012534,Yankuba Minteh,334f6920,0,8,1,0,4169,0,1193.7,67,20,13,0,0
1012708,Osman Kamara,51e9735b,0,3,0,0,3288,1,12611111111767.2,50,17,5,0,0
1012709,Will Sweet,a970b859,0,6,0,0,1751,0,1651.0,24,1,1,0,0
